humidity,pressure,temperature,current time
0.0,1004.6566157067548,8.657216114370385,Wed Oct  2 13:19:28 2019
0.0,1005.0235433328418,7.6383799242088575,Wed Oct  2 13:29:28 2019
0.0,1005.1056425318758,7.7136629761720545,Wed Oct  2 13:39:28 2019
0.0,1005.2506426913786,7.387436890602112,Wed Oct  2 13:49:28 2019
0.0,1005.3881932304091,7.377399184391834,Wed Oct  2 13:59:28 2019
0.0,1005.6496456459197,8.310910842195153,Wed Oct  2 14:09:28 2019
0.0,1005.7612963583491,7.994720282085472,Wed Oct  2 14:19:28 2019
0.0,1006.2050725127443,8.652197187487037,Wed Oct  2 14:29:29 2019
0.0,1006.1552440100036,8.230608368292451,Wed Oct  2 14:39:29 2019
0.0,1006.2047028256784,8.491591680888087,Wed Oct  2 14:49:29 2019
0.0,1006.3270583745672,8.822840864793397,Wed Oct  2 14:59:29 2019
0.0,1006.6419316199987,8.125211484363536,Wed Oct  2 15:09:29 2019
