humidity,pressure,temperature,current time
0.0,1022.0262673681776,6.162845325563103,Thu Oct  3 13:20:04 2019
0.0,1022.027555927583,5.435124939592788,Thu Oct  3 13:30:04 2019
0.0,1021.9207985262954,5.49033109920565,Thu Oct  3 13:40:04 2019
0.0,1021.9298828204679,5.495349842734868,Thu Oct  3 13:50:05 2019
0.0,1021.8643903625532,5.716174846148351,Thu Oct  3 14:00:05 2019
0.0,1021.8449948458732,6.734988408372738,Thu Oct  3 14:10:05 2019
0.0,1021.5761759981302,8.551818710938097,Thu Oct  3 14:20:05 2019
0.0,1021.5870139942043,10.720019704475998,Thu Oct  3 14:30:05 2019
0.0,1021.5387250512854,8.200494959787466,Thu Oct  3 14:40:05 2019
0.0,1021.4433757788958,8.622083632298745,Thu Oct  3 14:50:05 2019
0.0,1021.8038921701083,6.855440065660514,Thu Oct  3 15:00:05 2019
0.0,1021.6327986687419,7.979663617559709,Thu Oct  3 15:10:05 2019
