humidity,pressure,temperature,current time
0.0,986.3115668917075,14.895967245474457,Tue Oct  1 14:09:59 2019
0.0,986.4135509380161,13.390193705353886,Tue Oct  1 14:19:59 2019
0.0,986.441977507133,12.446588970720768,Tue Oct  1 14:29:59 2019
0.0,986.6032385621972,13.048888677731156,Tue Oct  1 14:39:59 2019
0.0,986.5344362246329,13.189425879064947,Tue Oct  1 14:49:59 2019
0.0,986.613008838766,13.219541023322382,Tue Oct  1 14:59:59 2019
0.0,986.5195638743645,13.721461636782625,Tue Oct  1 15:09:59 2019
0.0,986.5118097514162,14.03265387872234,Tue Oct  1 15:20:00 2019
0.0,986.612175063425,13.084022956673289,Tue Oct  1 15:30:00 2019
0.0,986.6610847897268,12.632297600159655,Tue Oct  1 15:40:00 2019
0.0,986.8584190794452,12.32612953223288,Tue Oct  1 15:50:00 2019
0.0,986.7869065321952,12.135402430803515,Tue Oct  1 16:00:00 2019
